theme,year_week,mention_count,avg_sentiment,wow_growth,cumulative_mentions,weekly_trend,display_theme
availability,2025-W45,3,0.0,,3,Sharp Decline,Availability
availability,2025-W46,11,0.55,266.7,14,Viral Growth,Availability
checklists,2023-W52,5,0.0,,5,Sharp Decline,Football - Checklists & Set Completion
checklists,2025-W28,5,0.0,0.0,10,Growing,Football - Checklists & Set Completion
checklists,2025-W46,20,0.0,300.0,30,Viral Growth,Football - Checklists & Set Completion
collectible cards,2025-W46,30,-0.1,,30,Sharp Decline,Collectible Cards
collectibles,2025-W46,28,0.0,,28,Sharp Decline,Pokemon - Collectibles General
collecting,2025-W45,20,0.6,,20,Sharp Decline,General - Collection Building
collecting,2025-W46,97,0.58,385.0,117,Viral Growth,General - Collection Building
gift cards,2025-W46,45,0.11,,45,Sharp Decline,Gift Cards
grading,2025-W42,5,0.0,,5,Sharp Decline,Baseball - Card Grading Questions
grading,2025-W45,22,0.59,340.0,27,Viral Growth,Baseball - Card Grading Questions
grading,2025-W46,43,0.91,95.5,70,Viral Growth,Baseball - Card Grading Questions
investing,2021-W29,2,1.0,,2,Sharp Decline,Baseball - Investment Activity
investing,2025-W45,1,1.0,-50.0,3,Sharp Decline,Baseball - Investment Activity
investing,2025-W46,14,0.64,1300.0,17,Viral Growth,Baseball - Investment Activity
market trends,2021-W29,2,1.0,,2,Sharp Decline,Pokemon - Market Trends Analysis
market trends,2025-W42,5,0.0,150.0,7,Viral Growth,Pokemon - Market Trends Analysis
market trends,2025-W46,16,0.88,220.0,23,Viral Growth,Pokemon - Market Trends Analysis
nostalgia,2021-W29,2,1.0,,2,Sharp Decline,Baseball - Nostalgia & Memories
nostalgia,2025-W45,9,0.78,350.0,11,Viral Growth,Baseball - Nostalgia & Memories
nostalgia,2025-W46,17,0.35,88.9,28,Viral Growth,Baseball - Nostalgia & Memories
pop culture,2025-W46,39,0.0,,39,Sharp Decline,Pop Culture
pricing,2025-W45,33,0.24,,33,Sharp Decline,Pokemon - Card Pricing Discussions
pricing,2025-W46,116,0.34,251.5,149,Viral Growth,Pokemon - Card Pricing Discussions
product availability,2025-W45,4,1.0,,4,Sharp Decline,Product Availability
product availability,2025-W46,22,0.64,450.0,26,Viral Growth,Product Availability
rewards,2025-W46,15,0.0,,15,Sharp Decline,Rewards
rookies,2025-W45,12,0.75,,12,Sharp Decline,Rookies
rookies,2025-W46,5,1.0,-58.3,17,Sharp Decline,Rookies
scalping,2025-W46,21,-0.05,,21,Sharp Decline,Scalping
sets,2025-W46,21,0.0,,21,Sharp Decline,General - Set Completion Activities
sports cards,2025-W28,5,0.0,,5,Sharp Decline,Sports Cards
sports cards,2025-W42,5,0.0,0.0,10,Growing,Sports Cards
sports cards,2025-W46,9,0.44,80.0,19,Viral Growth,Sports Cards
trading cards,2025-W42,3,1.0,,3,Sharp Decline,Football - Trading Card Activity
trading cards,2025-W45,2,1.0,-33.3,5,Sharp Decline,Football - Trading Card Activity
trading cards,2025-W46,41,0.12,1950.0,46,Viral Growth,Football - Trading Card Activity
travel,2025-W46,14,0.43,,14,Sharp Decline,Travel
